features,sv_0,sv_1,sv_2,sv_3,sv_4,cv_std,cv_mean,feature_n
IL18,0.007356179,0.03341725,0.0032983567,0.053150173,0.0012452159,0.02274335,0.019693434,519
TAP1,0.013475184,0.024289543,0.015857339,0.018131163,0.02654024,0.005563719,0.019658696,520
BCAT1,0.0047805347,0.03294164,0.018487383,0.036867056,0.0048683,0.015116443,0.019588983,521
MX2,0.0,0.0,0.04016418,0.055775706,0.0018324946,0.02653093,0.019554477,522
TNIP1,0.058312662,0.0,0.0,0.031996135,0.0073948503,0.025345623,0.01954073,523
SELK,0.016509304,0.03002833,0.032354113,0.013363365,0.0053247646,0.01144129,0.019515976,524
NUMB,0.0059706573,0.03261698,0.0110119665,0.0,0.047796376,0.020050423,0.019479197,525
DOCK4,0.030452479,0.040991593,0.0112576485,0.012496298,0.0019854037,0.015855398,0.019436684,526
RASSF4,0.020325378,0.020007705,0.018254014,0.011099239,0.026832515,0.0056266673,0.01930377,527
MAPK6,0.013025504,0.007486483,0.01523402,0.032358028,0.027992262,0.010505898,0.01921926,528
RGS2,0.005981455,0.025611768,0.029296909,0.021134444,0.01393771,0.009343738,0.019192457,529
IRF1,0.020066122,0.013621137,0.036125142,0.0048520043,0.020299003,0.011458536,0.018992681,530
STXBP2,0.013744395,0.03202956,0.015848964,0.01785761,0.015145486,0.007474193,0.018925203,531
EPSTI1,0.022921406,0.016714558,0.037696157,0.00049665733,0.016663782,0.013397081,0.018898513,532
LGALS1,0.027437203,0.010787701,0.024861157,0.01681592,0.01417193,0.0070867892,0.018814782,533
PLA2G7,0.03657815,0.013067429,0.027537024,0.0,0.01677097,0.013989435,0.018790713,534
HSPE1,0.012605488,0.026596675,0.034104183,0.013218479,0.0070785033,0.01120149,0.018720666,535
HMGN2,0.016951958,0.0,0.03198336,0.012833573,0.031648614,0.013521034,0.0186835,536
NUDT14,0.01454553,0.0,0.033617698,0.043929476,0.0010016374,0.019616403,0.01861887,537
MGST1,0.014029802,0.022041053,0.008092045,0.01558306,0.033047337,0.009499521,0.01855866,538
NKG7,0.008399148,0.031233015,0.04974635,0.003356494,0.0,0.021284126,0.018547002,539
HTRA1,0.0,0.0040243994,0.0,0.02063457,0.067647226,0.028783858,0.018461239,540
CHMP1B,0.010922189,0.028870128,0.04317224,0.0023022185,0.0065556965,0.017165553,0.018364495,541
BST1,0.027434237,0.05671347,0.0007699197,0.004310243,0.002036963,0.024117013,0.018252967,542
MIR3945HG,0.055253133,0.0035265507,0.003679242,0.0,0.02844537,0.023639495,0.018180858,543
HIST3H2A,0.013662406,0.034820966,0.023868078,0.007330943,0.010593837,0.011234531,0.018055247,544
TNF,0.014482351,0.02474328,0.033270653,0.013749385,0.0029354538,0.011574894,0.017836224,545
PIM3,0.060693514,0.007001637,0.0075155674,0.005049021,0.008644318,0.024024155,0.01778081,546
SOCS1,0.016430188,0.014455485,0.0,0.057838615,0.0,0.023716122,0.017744858,547
TPRA1,0.036564,0.0038366127,0.0,0.02131962,0.026966194,0.015494281,0.017737286,548
VMO1,0.016675122,0.0043227714,0.022341067,0.035853058,0.0070878277,0.012675824,0.01725597,549
BTG2,0.031278174,0.006179652,0.015176268,0.010145833,0.023428509,0.010152407,0.017241688,550
CD93,0.04490846,0.0033801538,0.015286615,0.0,0.02187101,0.017888578,0.017089248,551
ENTPD1,0.02187773,0.00402238,0.0,0.0,0.059023727,0.025180366,0.016984766,552
PSTPIP2,0.011012028,0.019952651,0.027724065,0.019273542,0.006649594,0.008243927,0.016922375,553
CALM3,0.0,0.011128347,0.013767021,0.042162396,0.017545365,0.015551049,0.016920626,554
HMOX1,0.009330188,0.025267089,0.019545654,0.0059162565,0.02410346,0.0087581305,0.016832529,555
TWISTNB,0.0065657147,0.014718261,0.012560124,0.03371163,0.01652317,0.010162793,0.016815778,556
SEMA6B,0.0,0.030111585,0.016576223,0.031585798,0.005245926,0.014243934,0.016703907,557
CENPW,0.0,0.041372977,0.013900641,0.017849393,0.009897135,0.015354447,0.016604029,558
RGCC,0.012753292,0.010232725,0.013983646,0.036811695,0.00870437,0.011543238,0.016497146,559
SIGLEC10,0.001527606,0.025472019,0.028907796,0.005919465,0.020500096,0.012109559,0.016465396,560
MT-ND6,0.0072797323,0.011240018,0.04076655,0.022825789,0.0,0.015919968,0.016422417,561
BLVRA,0.008042036,0.002289708,0.0,0.054647196,0.017021758,0.02236711,0.01640014,562
ABRACL,0.011924686,0.02713269,0.030687219,0.003685866,0.0081747435,0.011922841,0.016321043,563
LINC00937,0.0,0.0024829677,0.02049309,0.040440906,0.017642038,0.016269049,0.0162118,564
SH3PXD2B,0.0,0.008020294,0.027109912,0.028192254,0.017700527,0.012190564,0.0162046,565
KPNA2,0.0,0.02217716,0.011234609,0.033399496,0.014004829,0.012484552,0.016163219,566
P4HA1,0.0,0.0016332561,0.07077334,0.008198439,0.0,0.03073806,0.016121008,567
IER5,0.0,0.028887313,0.0,0.037231646,0.013879224,0.016832732,0.015999636,568
SLC16A10,0.038633466,0.0,0.0,0.01395671,0.027366046,0.01701202,0.015991244,569
EML4,0.01727463,0.01217699,0.034307804,0.015373938,0.0,0.012325356,0.015826672,570
METRNL,0.00906921,0.00945891,0.0061566974,0.005967189,0.04843208,0.018303288,0.015816817,571
MMP19,0.021847744,0.030835785,0.0,0.013677064,0.012695467,0.011472079,0.015811212,572
ALOX5,0.023946168,0.008341787,0.039292928,0.0023176405,0.0049849716,0.015593579,0.0157767,573
ADM,0.0,0.0030317316,0.00541207,0.070216015,0.0,0.030542172,0.015731964,574
PAPSS2,0.033837277,0.0067639323,0.0053705056,0.0027306648,0.029905364,0.014878728,0.015721548,575
GCH1,0.0,0.0031811043,0.0076703075,0.02860018,0.039091058,0.017184619,0.01570853,576
LPCAT1,0.005416341,0.005988875,0.020214047,0.0050429613,0.04187159,0.01596058,0.015706763,577
CD1D,0.022631735,0.012940909,0.008488824,0.018814692,0.015367217,0.0054189824,0.015648674,578
GBP4,0.0073556416,0.031160835,0.03360676,0.0,0.0060055046,0.015570513,0.015625749,579
RBP7,0.011733361,0.023709334,0.012200981,0.0012584481,0.029022934,0.010932974,0.015585011,580
SLC7A7,0.038211457,0.018891186,0.0,0.014856881,0.0059372094,0.014657673,0.0155793475,581
PTPRE,0.0040279585,0.03557029,0.018356206,0.01795477,0.0010898229,0.013749646,0.015399811,582
MX1,0.018317271,0.017992117,0.021292508,0.0,0.019312099,0.008695031,0.015382799,583
ACSL3,0.014299172,0.030639872,0.011750227,0.0098387115,0.01018903,0.008730013,0.015343401,584
SERTAD1,0.021012671,0.0028092558,0.03217638,0.017964173,0.0026163412,0.012663306,0.015315764,585
ZNF292,0.043326434,0.0,0.013710584,0.014327508,0.005188463,0.016772639,0.015310599,586
UBE2D1,0.004788441,0.01592555,0.041698586,0.0,0.014046459,0.016151087,0.015291807,587
FABP5,0.0073950305,0.036095176,0.0045892913,0.01618728,0.01170399,0.0124830855,0.015194153,588
HN1,0.014054606,0.0138372425,0.017380089,0.020589175,0.00967309,0.0041069565,0.01510684,589
CCDC107,0.019862238,0.0012654541,0.019368185,0.0073973215,0.027634604,0.010591723,0.01510556,590
MIDN,0.012219494,0.010376566,0.026583314,0.0077390787,0.018409176,0.0075432505,0.015065526,591
STK4,0.007969154,0.012903283,0.0065399436,0.031960856,0.015608175,0.010166637,0.014996283,592
GBP2,0.04652917,0.005298354,0.0018143284,0.003224389,0.01800536,0.018773427,0.01497432,593
SNX9,0.0115179615,0.019879034,0.0,0.035020985,0.008367933,0.013282927,0.014957182,594
AMD1,0.0,0.013303418,0.009244517,0.02574524,0.026460275,0.011267097,0.01495069,595
CPNE3,0.0,0.044296816,0.022259325,0.008064517,0.0,0.018768813,0.014924131,596
MEF2C,0.070945345,0.0015187262,0.0,0.0,0.0018828987,0.031359207,0.014869394,597
LUCAT1,0.038279045,0.0036831128,0.00390115,0.0,0.028160857,0.017256796,0.014804833,598
GPRIN3,0.0011093235,0.012491754,0.045435082,0.014854131,0.0,0.018373292,0.014778058,599
GNA15,0.0021033208,0.0018473509,0.03134967,0.033073526,0.005169658,0.016042847,0.014708705,600
IL1R2,0.03258309,0.019016469,0.01403889,0.0,0.007902281,0.012259411,0.014708146,601
LINC00657,0.017962951,0.033398077,0.0,0.005289411,0.016518226,0.012924764,0.014633733,602
TESC,0.021342011,0.0,0.024862032,0.021271111,0.0054615936,0.011089832,0.01458735,603
RARRES3,0.015563217,0.0072285174,0.0,0.031642284,0.01821444,0.011957273,0.014529692,604
NLRP3,0.023968223,0.0036340423,0.027953647,0.0076648584,0.009340118,0.010747788,0.014512177,605
GPX3,0.0327087,0.0,0.0,0.039774384,0.0,0.020006882,0.014496617,606
STAB1,0.010887286,0.019017339,0.026656609,0.0049205795,0.010135962,0.008542477,0.014323555,607
IL17RA,0.0,0.024825929,0.016010797,0.0013948807,0.029111909,0.013267836,0.014268702,608
FUCA1,0.02223662,0.0055522635,0.008640193,0.015773462,0.019086987,0.0070111286,0.014257905,609
SPATS2L,0.02235756,0.021293147,0.0,0.0,0.027319891,0.013155511,0.014194121,610
NUPR1,0.002356608,0.0,0.035898555,0.03078205,0.0018871505,0.017601866,0.014184873,611
GPCPD1,0.008026528,0.019065738,0.011402215,0.0016865886,0.030263752,0.011002076,0.014088964,612
DDX24,0.0107454825,0.0,0.007186416,0.01142315,0.041014113,0.0157273,0.014073832,613
SDC4,0.0014334768,0.050681934,0.0,0.018222425,0.0,0.021870572,0.014067566,614
LGALS3BP,0.016526017,0.012989632,0.012418662,0.023605295,0.004305956,0.007002386,0.013969113,615
HERPUD1,0.008671172,0.022886423,0.017032739,0.0037947532,0.0173619,0.0076157576,0.013949397,616
GLUD1,0.035460167,0.003483326,0.0119179,0.006818433,0.0119007155,0.012564046,0.013916108,617
GABARAPL1,0.0,0.034456078,0.0,0.027415587,0.0076946514,0.016047968,0.013913264,618
DENND4A,0.0,0.00775467,0.035006884,0.021249287,0.005216878,0.01419392,0.013845545,619
EIF4A3,0.0046885484,0.0353613,0.0048482716,0.017527308,0.0065468736,0.013177084,0.013794461,620
MEFV,0.0,0.030752577,0.022309456,0.0041620554,0.011714919,0.012722789,0.013787801,621
MAP3K13,0.014471259,0.014185048,0.024093146,0.009407596,0.0065889116,0.006667604,0.0137491925,622
CYSTM1,0.021237383,0.007543562,0.03013215,0.00828559,0.0010688055,0.011764157,0.013653499,623
TAGAP,0.0028311745,0.0,0.02855148,0.03614676,0.0,0.017448112,0.013505882,624
PSTPIP1,0.02078087,0.0062292074,0.00769295,0.0,0.032558344,0.013086791,0.013452274,625
SPN,0.016848512,0.0,0.025386257,0.016093284,0.008794728,0.009533912,0.013424556,626
GTF2B,0.016444027,0.027128715,0.0060373694,0.0063553313,0.010896138,0.008772755,0.013372315,627
BAG3,0.009782715,0.022926077,0.028009601,0.0,0.006115062,0.011724932,0.013366692,628
RHOB,0.034026004,0.009571987,0.015690705,0.00091287686,0.0066232677,0.012719859,0.013364968,629
MARCO,0.015689095,0.0015388952,0.0031628185,0.020091373,0.026227832,0.010724232,0.013342002,630
MEGF9,0.0,0.007427819,0.0020215516,0.02117274,0.035911396,0.015098269,0.013306702,631
NRP2,0.008513412,0.020934701,0.028158674,0.0,0.0083521595,0.011217094,0.013191789,632
MAP4K4,0.0,0.013485722,0.025956135,0.0039743055,0.022528086,0.01128236,0.013188851,633
SLC40A1,0.012141938,0.0029429058,0.010343808,0.002885002,0.037311886,0.014161916,0.013125109,634
PMP22,0.041991003,0.0123199625,0.00040004496,0.0,0.010829977,0.017127099,0.013108197,635
LILRA2,0.033514764,0.013022553,0.0057365233,0.005918769,0.007255355,0.011797445,0.013089593,636
ANXA6,0.036407847,0.017160494,0.011278526,0.0,0.0,0.015051543,0.012969373,637
ATP6V1B2,0.01685341,0.004490407,0.018340379,0.0074547953,0.017606882,0.00647575,0.012949174,638
SELPLG,0.004515786,0.0035410654,0.049748007,0.0,0.006927286,0.020722771,0.01294643,639
HEBP2,0.019155478,0.014256647,0.0,0.025774192,0.005526076,0.01033794,0.012942478,640
AKAP2,0.019583266,0.0052717663,0.020876702,0.0,0.018293899,0.009512398,0.012805127,641
GPR137B,0.014224117,0.03576452,0.01008431,0.0034502132,0.0,0.014035538,0.012704631,642
MIR155HG,0.0,0.0,0.031022111,0.011226975,0.021072133,0.013514212,0.012664244,643
DOK2,0.0,0.027547164,0.0059059914,0.0,0.029738836,0.014828012,0.012638399,644
PKIB,0.0037448695,0.0031186785,0.007682302,0.01730413,0.031298988,0.0118771745,0.012629794,645
IRF8,0.0,0.009959222,0.025751635,0.023452964,0.0034319432,0.0116244,0.012519153,646
CUX1,0.004205688,0.004612531,0.0022358275,0.00446006,0.046976037,0.01929766,0.012498029,647
FEN1,0.0,0.008373328,0.030799273,0.014231513,0.008926952,0.011444452,0.012466213,648
PLEKHO1,0.0048512667,0.0058374675,0.008792053,0.04090195,0.0016214325,0.016136963,0.012400834,649
SNHG15,0.0,0.025570113,0.009890589,0.010691214,0.015825555,0.009329568,0.012395495,650
PGS1,0.02838244,0.009412807,0.0,0.01790221,0.006012651,0.011058678,0.012342022,651
TET2,0.016011879,0.0136308735,0.0018441525,0.018463891,0.011560885,0.006391671,0.012302336,652
IDI1,0.02781102,0.0008775726,0.0326644,0.0,0.0,0.01649506,0.012270598,653
PHACTR1,0.042852376,0.0024016257,0.0035897302,0.011747604,0.0,0.017739251,0.012118267,654
TIPARP,0.0015043725,0.000962509,0.020116774,0.015348356,0.022627298,0.01027077,0.012111862,655
NAIP,0.009511649,0.013089458,0.010923319,0.013447387,0.013556049,0.0018026748,0.012105572,656
ICAM1,0.0065725613,0.005562852,0.019171052,0.005074869,0.02412266,0.008904822,0.012100799,657
CHORDC1,0.015437538,0.008308894,0.0070421854,0.02632722,0.0031945813,0.009121489,0.012062084,658
PLK3,0.006779643,0.0034541695,0.016879061,0.028854404,0.004322098,0.010806167,0.012057875,659
CLEC5A,0.010254941,0.014399809,0.016319921,0.0026102618,0.016478475,0.0058242846,0.012012681,660
RASGRP2,0.0,0.013068501,0.017360166,0.008578711,0.020919776,0.008141554,0.0119854305,661
CYB5D1,0.0,0.00080320064,0.0019219652,0.05710196,0.0,0.025244385,0.011965426,662
PSMD5-AS1,0.005285156,0.017455937,0.0,0.017247356,0.01937687,0.008670767,0.011873065,663
LTA4H,0.001107705,0.0,0.013086073,0.014983593,0.030089851,0.012246008,0.011853444,664
RALGDS,0.007037128,0.010705041,0.01640628,0.014266588,0.0104713645,0.0036382845,0.01177728,665
RELB,0.014149815,0.018112697,0.0015903966,0.018255696,0.0066919033,0.0073717106,0.011760102,666
ZBTB16,0.004242035,0.012140235,0.03077429,0.0,0.011186727,0.011798222,0.011668657,667
SLC38A2,0.0036700773,0.006027381,0.02706748,0.01641072,0.0051041488,0.009981285,0.011655961,668
THBD,0.025067633,0.0077376864,0.010992991,0.0,0.014401402,0.0092068305,0.011639943,669
RUNX1,0.022133233,0.008474841,0.005394824,0.012069632,0.010062309,0.006360056,0.011626968,670
APOBEC3A,0.0053008134,0.014109973,0.027263122,0.011326603,0.0,0.010319252,0.011600102,671
CD9,0.0068658385,0.0050626732,0.02975453,0.012656886,0.0033043025,0.010777826,0.011528846,672
EBI3,0.0045186104,0.040973194,0.009297514,0.0,0.0028007156,0.016809117,0.011518007,673
SLC43A3,0.010755865,0.03864512,0.001330782,0.0053642867,0.0014855304,0.015642567,0.011516317,674
SECTM1,0.006074389,0.019587066,0.010267456,0.0,0.021595702,0.009090244,0.011504923,675
NOCT,0.0,0.02806735,0.015689734,0.01370992,0.0,0.011847094,0.011493402,676
HLA-DQB2,0.0,0.0011766003,0.0021310966,0.01785617,0.0360995,0.015589452,0.011452673,677
ATP13A3,0.008340633,0.0,0.02830131,0.008473432,0.012128765,0.010417029,0.011448828,678
SRGAP2,0.017838068,0.020527378,0.011196906,0.0049097813,0.0022106434,0.007926949,0.011336555,679
IL6R,0.0012286719,0.0052188057,0.013892921,0.0,0.036092695,0.014895491,0.011286618,680
H2AFJ,0.0065438678,0.029564869,0.0020465818,0.0043384163,0.013892236,0.011147115,0.011277194,681
PYGL,0.017378902,0.004676236,0.0044043344,0.028743232,0.0011527688,0.011571581,0.011271095,682
RP11-1143G9.4,0.0,0.014763,0.003635894,0.028268239,0.009620312,0.011058416,0.011257489,683
HS6ST1,0.011874826,0.0,0.028688356,0.0,0.01569445,0.012014208,0.011251526,684
SLC44A2,0.0019495431,0.03177114,0.0,0.0062390375,0.016173478,0.013072163,0.011226639,685
PIK3R1,0.019831551,0.007893087,0.014206765,0.014140134,0.0,0.007559156,0.0112143075,686
DAPK1,0.01704308,0.008827528,0.0,0.0,0.030138511,0.012740853,0.011201824,687
KYNU,0.0117014535,0.017043982,0.014406679,0.0,0.01265613,0.006561999,0.01116165,688
CD69,0.0,0.0136415465,0.018179592,0.0066649574,0.017084338,0.007669273,0.011114087,689
MAP2K1,0.016460247,0.005894598,0.029548053,0.0017613758,0.0013912484,0.012016545,0.011011104,690
CARS2,0.023284467,0.005702858,0.0,0.0,0.026031049,0.012717117,0.011003675,691
DNAJA4,0.003001751,0.014156434,0.004430406,0.015904827,0.017331794,0.0067312233,0.010965042,692
SLC7A5,0.0,0.020035392,0.01609855,0.0020603426,0.016596694,0.009217717,0.010958196,693
CCDC85B,0.035958286,0.0009774921,0.010140628,0.0076734885,0.0,0.014630092,0.010949979,694
TSPAN13,0.014569339,0.0037279362,0.0,0.015455883,0.020920794,0.008730391,0.010934791,695
SMIM3,0.009497731,0.003670545,0.0070094643,0.016673485,0.017782114,0.0061249635,0.0109266685,696
RNF144B,0.013789118,0.00085331267,0.015605271,0.016947232,0.0073391506,0.0067206942,0.010906817,697
FKBP4,0.009525068,0.0,0.021616984,0.0037920005,0.019570109,0.0095032705,0.010900832,698
LDLR,0.014919378,0.025218472,0.00533277,0.008412614,0.0005692573,0.00955352,0.010890498,699
ERN1,0.008923042,0.0055683698,0.01187369,0.02736849,0.0,0.010285747,0.010746718,700
SYTL3,0.0028224355,0.0394166,0.003585771,0.007844211,0.0,0.016278446,0.010733804,701
ZFAND2A,0.0073111053,0.039590888,0.0055751614,0.0011327135,0.0,0.0164199,0.010721973,702
CATSPER1,0.0035562129,0.020650664,0.0,0.024610892,0.0045584817,0.011132918,0.01067525,703
MAP2K3,0.0068983217,0.006689898,0.0024618322,0.015511436,0.021789866,0.007818755,0.01067027,704
COA6,0.00711271,0.023229,0.014048728,0.0,0.008891212,0.00864307,0.01065633,705
TMOD3,0.0,0.0,0.010632604,0.008574379,0.033948407,0.013910135,0.010631078,706
BHLHE40,0.016528089,0.0054249074,0.009672026,0.0,0.021415818,0.008545855,0.010608168,707
C19orf38,0.021122338,0.008096268,0.008451186,0.015277422,0.0,0.007997553,0.010589443,708
CXorf21,0.0,0.0023053766,0.005353151,0.02751808,0.017536886,0.011651347,0.010542699,709
RP11-670E13.6,0.0,0.0,0.003529215,0.041355964,0.0071843993,0.017550915,0.010413915,710
CD72,0.0,0.004988163,0.020133378,0.024351459,0.0025558113,0.011049446,0.010405762,711
PRMT9,0.010228266,0.007242285,0.007758583,0.0,0.026780196,0.009917769,0.0104018655,712
IQGAP2,0.006443304,0.0071682627,0.013027597,0.018094297,0.007060179,0.005083108,0.010358728,713
SPAG9,0.03192137,0.006055517,0.0,0.013773892,0.0,0.013320423,0.010350157,714
GPR84,0.014879277,0.014421171,0.006626674,0.010702912,0.0044874083,0.004619698,0.010223488,715
CYCS,0.01135949,0.0010648313,0.022860732,0.01458624,0.0010411604,0.009330217,0.010182491,716
OAS1,0.0013540845,0.01176806,0.000986441,0.032092147,0.004287927,0.013036152,0.010097732,717
EIF4EBP1,0.0060437126,0.025809882,0.0018484334,0.007166315,0.009000814,0.00923414,0.0099738315,718
C9orf72,0.0,0.014264668,0.0,0.0030624634,0.03247604,0.013887778,0.009960635,719
ZNF331,0.024833195,0.008421063,0.015957156,0.0,0.0,0.010699066,0.009842282,720
ETV6,0.0057993513,0.0148235895,0.006577746,0.0093169045,0.012691589,0.0038797706,0.009841835,721
ITGAX,0.0,0.008824666,0.0,0.008196074,0.032113157,0.013166978,0.009826779,722
DSTN,0.0054674773,0.0,0.0,0.0,0.043459255,0.01897258,0.009785347,723
RANBP2,0.008459472,0.011108965,0.0067748926,0.020492276,0.0019975514,0.006853085,0.009766632,724
IFIT2,0.012023987,0.009271541,0.008421231,0.016855387,0.0021611685,0.0053675505,0.009746663,725
NDRG1,0.008226195,0.0,0.01549758,0.024783848,0.0,0.010624106,0.009701525,726
RP11-24F11.2,0.0032100347,0.0077836807,0.021076072,0.0059071337,0.010091638,0.006886743,0.009613712,727
GRSF1,0.022946926,0.0073339567,0.0172454,0.0,0.0,0.010319916,0.009505257,728
NFKB2,0.0,0.0,0.0021864614,0.0393164,0.005951055,0.016849333,0.009490783,729
FLT3,0.017899776,0.021002425,0.0,0.0064791944,0.0020308031,0.00946077,0.009482441,730
ATF3,0.0032279715,0.003010876,0.0034806328,0.025849203,0.011797523,0.009877389,0.009473242,731
RNF145,0.0150747085,0.0,0.010068791,0.0014529657,0.019827865,0.00855627,0.009284866,732
TSPAN4,0.019519836,0.013424928,0.0014456143,0.011729643,0.0,0.008299334,0.009224004,733
ARL5B,0.035016637,0.004249316,0.0,0.006744056,0.0,0.014716655,0.009202002,734
BIN1,0.014612535,0.019657513,0.004597024,0.0,0.0071395603,0.007885555,0.009201326,735
TFPI,0.010374304,0.0,0.017459456,0.006182658,0.011675747,0.0065086926,0.009138433,736
MEF2D,0.011237691,0.0,0.021940386,0.0,0.012403725,0.009300249,0.009116361,737
ASGR1,0.0,0.02094786,0.013568424,0.010618297,0.0,0.009058658,0.009026917,738
CTA-29F11.1,0.0,0.009588783,0.023378935,0.005019172,0.007125083,0.008767272,0.009022394,739
MRPS6,0.0116414465,0.00535597,0.0,0.009371528,0.018531745,0.006932648,0.008980138,740
AGTRAP,0.01763619,0.013029857,0.0035835942,0.0011340905,0.00950137,0.0067505967,0.00897702,741
GIMAP2,0.0021196508,0.0,0.03641465,0.006321739,0.0,0.015556921,0.008971208,742
EHBP1L1,0.0,0.040608637,0.0014523672,0.0,0.0027121068,0.017731328,0.008954623,743
EIF2AK2,0.02120744,0.0,0.01979764,0.0024869414,0.00092542416,0.010655533,0.008883489,744
KLF9,0.0,0.041036088,0.0,0.0033551883,0.0,0.018035388,0.008878255,745
JUND,0.0054720934,0.0019163507,0.004797889,0.025026944,0.0068139117,0.009243032,0.008805437,746
FNIP2,0.009048728,0.02208955,0.0,0.0,0.012784108,0.009319683,0.008784478,747
NCOA7,0.043908536,0.0,0.0,0.0,0.0,0.019636495,0.008781707,748
PTPRN2,0.0,0.009212849,0.0,0.025353849,0.009269412,0.010359721,0.008767222,749
JDP2,0.0058394987,0.0,0.0,0.006599762,0.031353846,0.013011082,0.008758621,750
VAMP5,0.0034483897,0.013348041,0.017853934,0.007852607,0.0012483507,0.0068776943,0.0087502645,751
SLC20A1,0.0,0.011801139,0.020584013,0.0059363823,0.0051363604,0.007856105,0.008691578,752
HLA-DOA,0.0,0.012923924,0.028339356,0.0,0.002183696,0.012220756,0.008689395,753
FAM21C,0.0,0.013914703,0.0016047993,0.0019177793,0.025955375,0.011146403,0.008678531,754
IRF4,0.015985861,0.0073619867,0.014745782,0.0,0.0052804286,0.006685915,0.008674812,755
ALCAM,0.0132439025,0.012845372,0.011840341,0.0054196944,0.0,0.0057909144,0.008669862,756
TM2D2,0.0,0.0071170586,0.03601578,0.0,0.0,0.015618103,0.008626567,757
ZNF503,0.0057898164,0.014594885,0.010636836,0.012105244,0.0,0.0057928404,0.0086253565,758
SLC29A1,0.018188262,0.0043066,0.0,0.0,0.020597434,0.010027771,0.008618459,759
GPR35,0.0045383777,0.0029532409,0.022768531,0.0,0.012803775,0.009229854,0.008612785,760
ACSL4,0.011735603,0.0061804713,0.006687307,0.016179875,0.0022669113,0.005406166,0.008610033,761
FNDC3B,0.025530305,0.0,0.0020542718,0.013467726,0.0017784999,0.010881908,0.008566161,762
OAS2,0.0054004365,0.0024019114,0.011259864,0.0026723088,0.021036183,0.007834444,0.008554141,763
TNFRSF1A,0.020840975,0.0045462223,0.0030478374,0.0019045352,0.012346782,0.007999204,0.00853727,764
NEDD9,0.009599419,0.021070914,0.0055315215,0.0028075038,0.003669848,0.007479588,0.0085358415,765
CD59,0.0,0.010946926,0.0077523827,0.0159461,0.007982567,0.00579882,0.008525595,766
SKIL,0.0100157205,0.017120108,0.0,0.0136968065,0.0016764487,0.0074568978,0.008501817,767
HPS3,0.018810915,0.008162365,0.0,0.0,0.015363909,0.008631873,0.008467438,768
GFOD1,0.01591178,0.007381456,0.003052586,0.0024629156,0.01296084,0.0059602587,0.008353916,769
RYBP,0.0,0.0038088488,0.018668331,0.015195426,0.003934019,0.008111244,0.008321324,770
SIRPB1,0.0,0.009636464,0.016721679,0.0150235,0.0,0.007995209,0.008276328,771
NME1,0.0,0.0013412698,0.0,0.022826932,0.017061858,0.01088567,0.008246012,772
MIR222HG,0.032617643,0.0,0.0084570125,0.0,0.0,0.014124502,0.008214931,773
CYP1B1,0.026212,0.0,0.014786221,0.0,0.0,0.011932418,0.008199644,774
CIITA,0.023845911,0.0,0.011557901,0.0,0.0054379674,0.009977147,0.008168356,775
ARID5A,0.0,0.0,0.0,0.018792775,0.021886881,0.011194162,0.008135932,776
FAM105A,0.022452695,0.0034751398,0.01376505,0.0009222739,0.0,0.00970321,0.008123032,777
SLC9A3R1,0.015953416,0.0073462115,0.0062460974,0.00317677,0.0076037133,0.0047476245,0.008065241,778
LRRC25,0.01741961,0.0,0.0011996999,0.0,0.021478415,0.010543231,0.008019545,779
TRIB1,0.015129695,0.01000796,0.004553762,0.0029842015,0.0073365145,0.0048046703,0.0080024265,780
SLC1A3,0.002120365,0.010889288,0.0040551173,0.0055840146,0.017187892,0.006097729,0.007967335,781
RNASE2,0.020292439,0.013960252,0.005484568,0.0,0.0,0.008957431,0.0079474505,782
CCDC50,0.016193748,0.009729902,0.0,0.009938176,0.0038342678,0.0062293946,0.007939219,783
EGR3,0.0051986915,0.0013633963,0.0056657745,0.0035894457,0.023854474,0.009057266,0.007934356,784
NPL,0.0033686382,0.021900743,0.00819852,0.004936309,0.0011548838,0.008229862,0.007911819,785
AP2A2,0.0,0.015388746,0.0,0.015812684,0.008232848,0.0078041945,0.007886855,786
DNMT1,0.00782372,0.031482294,0.0,0.0,0.0,0.013632249,0.007861203,787
RP11-519G16.3,0.0,0.0,0.0067608147,0.017312117,0.015214798,0.008188452,0.007857546,788
PTGER2,0.012237727,0.005468046,0.0106858695,0.004879882,0.00584945,0.0033833592,0.007824195,789
LMNB1,0.0,0.030232182,0.008437188,0.0,0.0,0.0130968215,0.007733874,790
LINC-PINT,0.014986818,0.0,0.0,0.0047323876,0.018944606,0.008759569,0.0077327625,791
CCT4,0.005117052,0.009178022,0.010824883,0.0045279586,0.00884228,0.0027380511,0.007698039,792
PTGER4,0.001100011,0.022046017,0.0,0.0016073849,0.013471211,0.009734856,0.0076449243,793
ZNRD1,0.0040321653,0.012774247,0.0,0.017893868,0.0034927244,0.007417686,0.007638601,794
LINC00936,0.0037549254,0.01846278,0.011282418,0.0,0.0046575107,0.0072931144,0.007631527,795
HIST1H2AC,0.009270316,0.0,0.019170549,0.009713889,0.0,0.0080101695,0.007630951,796
BEST1,0.0,0.03313646,0.00411549,0.00077295897,0.0,0.014373422,0.007604982,797
STX4,0.0114604905,0.012478413,0.0121569205,0.0014093663,0.00043243758,0.006106655,0.007587526,798
TLR4,0.009420964,0.008622086,0.003011332,0.0017324514,0.015060246,0.0053734337,0.007569416,799
NBPF26,0.0,0.0035646893,0.011584468,0.0013722114,0.021208424,0.008858325,0.0075459583,800
